participant,amp_win_learnable,amp_loss_learnable,frn_learnable,amp_win_unlearnable,amp_loss_unlearnable,frn_unlearnable,n_epochs_win_learn,n_epochs_loss_learn,n_epochs_win_unlearn,n_epochs_loss_unlearn,frn_difference
sub-01,3.6908447256598733,3.2395606322951296,-0.45128409336474373,3.5624418738980443,2.699023063525635,-0.8634188103724094,86,111,79,120,0.4121347170076657
sub-02,1.401966687343804,-0.72089172941305,-2.122858416756854,-0.7700497536919659,-0.6331909430066742,0.1368588106852917,80,111,86,100,-2.2597172274421453
sub-03,1.5599859215359577,0.7200311943471027,-0.839954727188855,1.55500065887896,1.1134229094861956,-0.4415777493927644,89,99,91,94,-0.3983769777960906
sub-04,1.06289774098486,1.0710032946018826,0.008105553617022698,1.1658821551663838,0.5343509955308536,-0.6315311596355302,75,119,77,115,0.6396367132525529
sub-05,2.0961479178050895,-0.05530297298201798,-2.1514508907871073,1.0412784394641694,-0.2832497958873963,-1.3245282353515657,76,113,70,126,-0.8269226554355416
sub-06,0.45207595321071015,0.1485511509747866,-0.30352480223592354,1.2104751616813327,0.30290335178617056,-0.9075718098951622,100,99,108,92,0.6040470076592386
sub-07,0.34612765925342687,0.09365036658097022,-0.25247729267245667,-0.20675936771427453,0.3995674032395713,0.6063267709538458,91,107,80,118,-0.8588040636263025
sub-08,-1.039761053924828,-0.5182306881974748,0.5215303657273533,-0.6422970882849284,-0.9699974614388744,-0.32770037315394607,98,101,102,98,0.8492307388812994
sub-09,0.17980969566404628,-0.2203242855293208,-0.40013398119336707,0.8830672302022101,0.23573669648446302,-0.6473305337177471,107,93,97,102,0.24719655252438
sub-10,0.7219031380759943,1.1735610699219332,0.45165793184593894,1.0259583842525952,2.7718667607674665,1.7459083765148713,106,93,98,99,-1.2942504446689322
sub-11,1.4449714576064332,2.021510406876978,0.5765389492705448,2.830326760994916,2.052820753058218,-0.7775060079366978,83,116,77,123,1.3540449572072426
sub-12,3.766119592245922,2.2478880541326465,-1.5182315381132754,1.8651199285987685,2.3538457056717363,0.4887257770729678,76,120,70,120,-2.006957315186243
sub-13,3.796947456631219,3.246933833222019,-0.5500136234092001,4.744827233519453,4.90422023464518,0.15939300112572763,102,95,106,93,-0.7094066245349278
sub-14,0.8335542808478575,1.3066921424103244,0.47313786156246684,-0.2670538093372528,-0.4246440787948565,-0.15759026945760368,93,106,91,109,0.6307281310200705
sub-15,0.30813634235296317,-0.27301814164165056,-0.5811544839946137,-0.22245795458871476,-0.7725647106255926,-0.5501067560368779,83,105,87,109,-0.031047727957735805
sub-16,3.4773158500561387,5.243787830110464,1.7664719800543254,5.343456997901241,3.698315181193294,-1.6451418167079472,93,97,114,81,3.4116137967622726
sub-17,-0.7504397543222453,-0.16212423046854252,0.5883155238537028,-0.9475991882907484,0.05857511793147717,1.0061743062222255,84,97,99,88,-0.4178587823685227
sub-18,1.0869788465246781,0.4722089877012045,-0.6147698588234736,-0.6865934631629597,-0.7382983027339862,-0.05170483957102656,76,119,89,107,-0.563065019252447
sub-19,5.111439088196926,5.1355632836959275,0.024124195499001466,2.29176334114721,2.932921775923508,0.641158434776298,67,120,60,133,-0.6170342392772965
sub-20,-0.9653245095854479,0.7941599555857207,1.7594844651711687,-1.137649205604686,-0.896707126828404,0.24094207877628204,79,111,85,107,1.5185423863948868
sub-21,4.04030156700384,2.5071336270318847,-1.533167939971955,4.994834236294204,3.5379007758505674,-1.4569334604436364,94,96,105,86,-0.07623447952831874
sub-22,-0.2702142884943364,0.4098893485773733,0.6801036370717097,1.3300413759624956,1.1028672961350197,-0.22717407982747595,90,102,101,88,0.9072777168991857
sub-23,3.4922285864095675,-0.08827386555395125,-3.5805024519635187,3.486829669887853,0.37156814479245875,-3.115261525095394,67,124,79,118,-0.46524092686812457
sub-24,4.24925120411148,4.693823779895256,0.4445725757837762,3.8784850834817886,4.47465908466194,0.5961740011801511,90,108,83,114,-0.1516014253963749
sub-25,-1.4529402500855175,-0.324983043257135,1.1279572068283825,0.2798909541134581,-1.122841429333405,-1.402732383446863,64,132,72,128,2.5306895902752453
sub-26,1.775452269810068,1.131698594377099,-0.6437536754329691,2.2448345849909166,1.1915697605897568,-1.0532648244011598,89,100,89,110,0.40951114896819063
sub-27,3.291417507352537,1.8086095687185757,-1.4828079386339612,3.516224216597307,2.1202612844971633,-1.3959629321001437,93,95,90,96,-0.08684500653381755
sub-28,-0.020828700229800486,0.8741975592318406,0.895026259461641,0.6409735561817872,0.830444234445482,0.1894706782636948,101,92,90,89,0.7055555811979463
sub-29,1.8183486978984533,-1.217974664807036,-3.036323362705489,2.063336744612758,-0.575996195771244,-2.6393329403840022,89,105,75,120,-0.39699042232148685
sub-30,3.5383032825458334,3.778369873202076,0.2400665906562427,3.1201014445049977,3.1239232064592115,0.003821761954213798,98,97,95,85,0.2362448287020289
sub-31,6.244004685813124,5.409041880184633,-0.834962805628491,7.520870305537345,5.996284465157034,-1.5245858403803112,83,112,92,105,0.6896230347518202
sub-32,2.5116894307287763,2.1931152633340276,-0.31857416739474864,2.4554722167310286,2.0389375799934015,-0.41653463673762703,94,106,100,99,0.09796046934287839
sub-33,10.465539032520955,7.504374233481744,-2.961164799039211,9.820306431425559,4.286592238249834,-5.533714193175725,82,101,79,103,2.572549394136514
sub-34,0.6056647333343222,-0.13576733872330182,-0.7414320720576241,-2.2163616970097615,-0.8154687508240948,1.4008929461856667,65,127,53,142,-2.142325018243291
sub-35,1.130686649087183,-1.7253739877893708,-2.8560606368765535,-0.8696703610125217,-0.7463680462659769,0.12330231474654485,62,123,65,112,-2.9793629516230986
sub-36,3.658669971710231,4.05477920180178,0.3961092300915485,5.939011807211052,3.8971298857998917,-2.04188192141116,95,98,110,87,2.4379911515027084
sub-37,-3.773177918478371,-2.540283447261269,1.2328944712171022,-3.249467566795977,-2.534639654671946,0.7148279121240311,90,109,110,89,0.5180665590930711
sub-38,1.5004661850274754,2.8036943733618926,1.3032281883344172,0.6254043959558444,1.6478365205382806,1.0224321245824362,125,74,124,75,0.2807960637519811
sub-39,1.682956544424383,1.8718299188159337,0.18887337439155072,1.370541910373408,1.0384850076480907,-0.3320569027253173,109,86,105,93,0.520930277116868
sub-40,5.289741896152246,3.7484398803280436,-1.5413020158242023,5.033652656936518,2.7110748519698498,-2.322577804966668,67,126,74,123,0.7812757891424655
